e1, 1 , 2 , 7
e2, 2 , 3 , 1
e3, 3 , 4 , 1
e4, 4 , 5 , 1
e5, 5 , 6 , 10
e6, 6 , 1 , 6
e7, 2 , 6 , 5
e8, 3 , 5 , 3
e9, 4 , 6 , 4
e10, 7, 2 , 5
e11, 8 , 1 , 3
e12, 7, 3 , 4
e13, 9, 5, 2
e14, 10, 6, 9
e15, 11, 10, 2
e16, 10, 7, 6
e17, 12, 3, 1
e18, 12, 4 , 1
e19, 13, 10, 1
e20, 13, 12, 1
e21, 8, 5, 4
e22, 13, 7 , 5
e23, 14, 10, 2
e24, 14, 11, 3
e25, 15, 14, 1
e26, 16, 14, 1
e27, 16, 15, 1
e28, 17, 16, 3
e29, 18, 14, 2
e30, 19, 18, 2
e31, 20, 19, 4
e32, 21, 19, 2
e33, 22, 21, 20
e34, 22, 20, 1
e35, 23, 16, 17
e36, 24, 23, 1
e37, 24, 22, 2
e38, 25, 22, 6
e39, 25, 24,3
e40, 25, 23, 1
